generation,evaluations,mean_parent_fitness,variant,seed
8,800,14.781981974792949,Tournament selection,44
9,900,14.64758025178582,Tournament selection,44
10,1000,14.584383452516123,Tournament selection,44
11,1100,14.560383118888195,Tournament selection,44
12,1200,14.521976542750304,Tournament selection,44
13,1300,14.45411877921857,Tournament selection,44
14,1400,14.417084034383311,Tournament selection,44
15,1500,14.302836324725812,Tournament selection,44
16,1600,14.181002233173952,Tournament selection,44
17,1700,14.128701997999638,Tournament selection,44
18,1800,14.111419427057973,Tournament selection,44
19,1900,13.919594900026084,Tournament selection,44
20,2000,14.012345347114287,Tournament selection,44
21,2100,13.901910067141344,Tournament selection,44
22,2200,13.990793806322312,Tournament selection,44
23,2300,13.883420162426154,Tournament selection,44
24,2400,13.923066011314097,Tournament selection,44
25,2500,13.812180770039904,Tournament selection,44
26,2600,13.778601980867748,Tournament selection,44
27,2700,13.771440339038676,Tournament selection,44
28,2800,13.809998745678902,Tournament selection,44
29,2900,13.737154450311916,Tournament selection,44
30,3000,13.68828205825017,Tournament selection,44
31,3100,13.759148022269564,Tournament selection,44
32,3200,13.702008540414132,Tournament selection,44
33,3300,13.714157368153348,Tournament selection,44
34,3400,13.789597162702046,Tournament selection,44
35,3500,13.837283007313342,Tournament selection,44
36,3600,13.815357237017915,Tournament selection,44
37,3700,13.715044439485386,Tournament selection,44
38,3800,13.721178859921054,Tournament selection,44
39,3900,13.718213204449045,Tournament selection,44
40,4000,13.634626061916851,Tournament selection,44
41,4100,13.617889534925943,Tournament selection,44
42,4200,13.708110178020856,Tournament selection,44
43,4300,13.630657963666325,Tournament selection,44
44,4400,13.524302915371,Tournament selection,44
45,4500,13.5932963435484,Tournament selection,44
46,4600,13.545710883778122,Tournament selection,44
47,4700,13.612518122294228,Tournament selection,44
48,4800,13.652421016133314,Tournament selection,44
49,4900,13.767811934425293,Tournament selection,44
50,5000,13.685022382988937,Tournament selection,44
51,5100,13.684129209821313,Tournament selection,44
52,5200,13.6802929305776,Tournament selection,44
53,5300,13.66056811821026,Tournament selection,44
54,5400,13.68621219229207,Tournament selection,44
55,5500,13.732137918966108,Tournament selection,44
56,5600,13.627491945116692,Tournament selection,44
57,5700,13.43413245500297,Tournament selection,44
58,5800,13.397162150549631,Tournament selection,44
59,5900,13.564755974146646,Tournament selection,44
60,6000,13.66594173361527,Tournament selection,44
61,6100,13.65807636485037,Tournament selection,44
62,6200,13.71605969220702,Tournament selection,44
63,6300,13.606728837395252,Tournament selection,44
64,6400,13.579351330016957,Tournament selection,44
65,6500,13.500855670151624,Tournament selection,44
66,6600,13.527720145820432,Tournament selection,44
67,6700,13.606738522898652,Tournament selection,44
68,6800,13.48767090605426,Tournament selection,44
69,6900,13.46689353349736,Tournament selection,44
70,7000,13.51364986158059,Tournament selection,44
71,7100,13.600259785486324,Tournament selection,44
72,7200,13.544033178615376,Tournament selection,44
73,7300,13.604658614390525,Tournament selection,44
74,7400,13.589936853129142,Tournament selection,44
75,7500,13.65603612966702,Tournament selection,44
76,7600,13.555133749512745,Tournament selection,44
77,7700,13.560578151820485,Tournament selection,44
78,7800,13.6243968431065,Tournament selection,44
79,7900,13.45558611515062,Tournament selection,44
80,8000,13.611310467490508,Tournament selection,44
81,8100,13.473349342853307,Tournament selection,44
82,8200,13.355517931455164,Tournament selection,44
83,8300,13.305689124013124,Tournament selection,44
84,8400,13.498984861520237,Tournament selection,44
85,8500,13.49263948551354,Tournament selection,44
86,8600,13.40255217688041,Tournament selection,44
87,8700,13.43858702274465,Tournament selection,44
88,8800,13.425156197159112,Tournament selection,44
89,8900,13.332576579348103,Tournament selection,44
90,9000,13.566803930952997,Tournament selection,44
91,9100,13.50005203148002,Tournament selection,44
92,9200,13.392976678517282,Tournament selection,44
93,9300,13.360467058612016,Tournament selection,44
94,9400,13.451461576733545,Tournament selection,44
95,9500,13.433506110050075,Tournament selection,44
96,9600,13.520446829017072,Tournament selection,44
97,9700,13.422506518383264,Tournament selection,44
98,9800,13.2903652573103,Tournament selection,44
99,9900,13.21973001076095,Tournament selection,44
100,10000,13.28659560987088,Tournament selection,44
1,100,19.70214015102881,Tournament selection,45
2,200,16.70954497946942,Tournament selection,45
3,300,15.981880803117566,Tournament selection,45
