generation,evaluations,best_fitness,mean_fitness,mean_modules,variant,seed
15,1600,13.419090595827292,13.8191725740384,12.47,Tournament selection,44
16,1700,13.419090595827292,13.766426834731186,12.6,Tournament selection,44
17,1800,13.140175425099136,13.71081173724115,12.52,Tournament selection,44
18,1900,13.140175425099136,13.66723567929179,12.5,Tournament selection,44
19,2000,13.140175425099136,13.62735293689485,12.68,Tournament selection,44
20,2100,13.140175425099136,13.586101479938153,12.71,Tournament selection,44
21,2200,13.140175425099136,13.550674167145065,12.67,Tournament selection,44
22,2300,13.140175425099136,13.521590166538749,12.61,Tournament selection,44
23,2400,13.140175425099136,13.49145913439126,12.48,Tournament selection,44
24,2500,12.992838827718412,13.453010415645029,12.42,Tournament selection,44
25,2600,12.96619037896906,13.417251454566015,12.39,Tournament selection,44
26,2700,12.96619037896906,13.396501158841454,12.34,Tournament selection,44
27,2800,12.96619037896906,13.370879665783216,12.43,Tournament selection,44
28,2900,12.96619037896906,13.330533225196962,12.48,Tournament selection,44
29,3000,12.956465996625052,13.285613521591635,12.48,Tournament selection,44
30,3100,12.956465996625052,13.242460406137454,12.36,Tournament selection,44
31,3200,12.956465996625052,13.209248971608124,12.33,Tournament selection,44
32,3300,12.956465996625052,13.184180434932763,12.22,Tournament selection,44
33,3400,12.956465996625052,13.174276732351975,12.2,Tournament selection,44
34,3500,12.956465996625052,13.156009623421914,12.2,Tournament selection,44
35,3600,12.87840487520902,13.130820394940365,12.1,Tournament selection,44
36,3700,12.68309518948453,13.110953481772436,12.06,Tournament selection,44
37,3800,12.68309518948453,13.09341308708636,12.07,Tournament selection,44
38,3900,12.68309518948453,13.0717588472046,12.09,Tournament selection,44
39,4000,12.68309518948453,13.053425110586725,12.1,Tournament selection,44
40,4100,12.68309518948453,13.032518405117491,12.13,Tournament selection,44
41,4200,12.68309518948453,13.02217508198412,12.16,Tournament selection,44
42,4300,12.68309518948453,13.002830523177536,12.2,Tournament selection,44
43,4400,12.68309518948453,12.968497817314033,12.32,Tournament selection,44
44,4500,12.68309518948453,12.956082746747402,12.32,Tournament selection,44
45,4600,12.68309518948453,12.935431549904942,12.38,Tournament selection,44
46,4700,12.632455532033676,12.908819345165258,12.43,Tournament selection,44
47,4800,12.632455532033676,12.893685717747164,12.48,Tournament selection,44
48,4900,12.632455532033676,12.879297163289934,12.58,Tournament selection,44
49,5000,12.632455532033676,12.86424830081016,12.58,Tournament selection,44
50,5100,12.632455532033676,12.843014697207146,12.56,Tournament selection,44
51,5200,12.632455532033676,12.820242061237144,12.67,Tournament selection,44
52,5300,12.632455532033676,12.816087301762916,12.7,Tournament selection,44
53,5400,12.632455532033676,12.797966869529024,12.8,Tournament selection,44
54,5500,12.632455532033676,12.78538417216213,12.87,Tournament selection,44
55,5600,12.632455532033676,12.766056918076613,12.87,Tournament selection,44
56,5700,12.632455532033676,12.752191397612783,12.86,Tournament selection,44
57,5800,12.632455532033676,12.746237956652644,12.86,Tournament selection,44
58,5900,12.632455532033676,12.73540917477384,12.86,Tournament selection,44
59,6000,12.632455532033676,12.729266273594028,12.85,Tournament selection,44
60,6100,12.632455532033676,12.71917364045176,12.87,Tournament selection,44
61,6200,12.632455532033676,12.705030002486913,12.94,Tournament selection,44
62,6300,12.632455532033676,12.696209978215808,12.95,Tournament selection,44
63,6400,12.632455532033676,12.684182015706742,12.97,Tournament selection,44
64,6500,12.632455532033676,12.675942865802377,12.96,Tournament selection,44
65,6600,12.632455532033676,12.667916626271062,12.98,Tournament selection,44
66,6700,12.632455532033676,12.66132013678066,13.0,Tournament selection,44
67,6800,12.632455532033676,12.659800947057134,13.0,Tournament selection,44
68,6900,12.632455532033676,12.657775360759102,13.0,Tournament selection,44
69,7000,12.632455532033676,12.655749774461064,13.0,Tournament selection,44
70,7100,12.632455532033676,12.653724188163032,13.0,Tournament selection,44
71,7200,12.632455532033676,12.652204998439506,13.0,Tournament selection,44
72,7300,12.632455532033676,12.65068580871598,13.0,Tournament selection,44
73,7400,12.632455532033676,12.649166618992451,13.0,Tournament selection,44
74,7500,12.632455532033676,12.647647429268927,13.0,Tournament selection,44
75,7600,12.632455532033676,12.646634636119911,13.0,Tournament selection,44
76,7700,12.632455532033676,12.645621842970897,13.0,Tournament selection,44
77,7800,12.632455532033676,12.64308986009835,13.0,Tournament selection,44
78,7900,12.632455532033676,12.641570670374826,13.0,Tournament selection,44
79,8000,12.632455532033676,12.64055787722581,13.0,Tournament selection,44
80,8100,12.632455532033676,12.638532290927776,13.0,Tournament selection,44
81,8200,12.632455532033676,12.638025894353268,13.0,Tournament selection,44
82,8300,12.632455532033676,12.635493911480726,13.0,Tournament selection,44
83,8400,12.632455532033676,12.634987514906216,13.0,Tournament selection,44
84,8500,12.632455532033676,12.634987514906216,13.0,Tournament selection,44
85,8600,12.632455532033676,12.632961928608184,13.0,Tournament selection,44
86,8700,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
87,8800,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
88,8900,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
89,9000,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
90,9100,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
91,9200,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
92,9300,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
93,9400,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
94,9500,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
95,9600,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
96,9700,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
97,9800,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
98,9900,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
99,10000,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
100,10100,12.632455532033676,12.632455532033676,13.0,Tournament selection,44
1,200,15.521363372331802,18.893579197557457,19.35,Tournament selection,45
2,300,14.907567081708246,17.00768773906311,14.14,Tournament selection,45
3,400,14.754996671103717,15.802708744577584,10.46,Tournament selection,45
4,500,14.64476105895272,15.406582349147875,10.23,Tournament selection,45
5,600,14.133030277982336,15.086340393641697,10.94,Tournament selection,45
6,700,14.133030277982336,14.826740444048992,11.09,Tournament selection,45
7,800,14.133030277982336,14.652845593391833,11.1,Tournament selection,45
8,900,13.735270009440733,14.471632171418657,11.47,Tournament selection,45
9,1000,13.735270009440733,14.293247429435894,11.73,Tournament selection,45
10,1100,13.735270009440733,14.1188352653557,11.72,Tournament selection,45
11,1200,13.735270009440733,14.00599538295272,11.79,Tournament selection,45
12,1300,13.50830459735946,13.913834070271724,11.88,Tournament selection,45
13,1400,13.50830459735946,13.843942597067985,11.9,Tournament selection,45
14,1500,13.50830459735946,13.801143124565725,11.9,Tournament selection,45
15,1600,13.44899959967968,13.765315802270909,11.91,Tournament selection,45
